MSA_ID,MEASURE_DATE,SURVEY_DATE,PROP_ID,PROP_NAME,PROPERTY_STATUS,YEAR_BUILT,PROPERTY_TOTAL_UNITS,PROPERTY_GRADE_WITHIN_SUBMARKET,PROPERTY_GRADE_WITHIN_MARKET,SUBMARKET_GRADE_WITHIN_MARKET,SUBMARKET,MSA_NAME,ADDRESS,CITY,STATE_ID,ZIP,WEBSITE_ADDRESS,LATITUDE,LONGITUDE,CENSUS_TRACT,CENSUS_BLOCK_GROUP,COUNTY_NAME,FIPS_CODE
48424,5/10/17,5/2/17,17533,the melrose,stabilized,2005,60,b,b-,b-,century village,"west palm beach-boca raton-delray beach, fl",3200 haverhill rd n,west palm beach,fl,33417,http://www.cfhgroup.com/themelrose,26.724545,-80.117897,1908,3,palm beach county,12099
31084,5/10/17,5/31/17,80876,tropical palms,stabilized,1962,67,b-,c,b-,n long beach/lakewood/artesia,"los angeles-long beach-glendale, ca",6485 atlantic ave,long beach,ca,90805,none,33.873016,-118.18674,570301,2,los angeles county,6037
35840,5/10/17,5/16/17,8145,30 west,rehabilitation,1988,254,c+,c+,b,manatee,"north port-sarasota-bradenton, fl",2835 50th ave w,bradenton,fl,34207,www.30westapts.com,27.453905,-82.590103,309,3,manatee county,12081
12420,5/10/17,5/9/17,62360,retreat at north bluff,stabilized,2011,240,b-,b-,b,far south,"austin-round rock, tx",6212 crow ln,austin,tx,78745,http://www.retreatatnorthbluff.com/home.asp,30.197901,-97.771423,2402,4,travis county,48453
26420,5/10/17,5/5/17,1269,gables cityscape,stabilized,2000,252,c,b+,a,montrose/river oaks,"houston-the woodlands-sugar land, tx",3720 w alabama st,houston,tx,77027,http://gables.com/find/apartment/61-gables-cityscape-houston-tx,29.73921,-95.438019,411501,3,harris county,48201
36084,5/10/17,5/25/17,20428,,stabilized,1977,181,b-,b,b,fremont/newark/union city,"oakland-hayward-berkeley, ca",36707 san pedro dr,fremont,ca,94536,http://www.jklapartments.com/index.php?option=com_content&view=article&id=10&itemid=15,37.550671,-122.0232,441602,3,alameda county,6001
45300,5/10/17,5/25/17,34036,colonial grand at hampton preserve,would not disclose,2012,486,b,b+,b+,north hillsborough county,"tampa-st. petersburg-clearwater, fl",6398 colonial grand dr,tampa,fl,33647,http://www.colonialprop.com/tampa/colonial-grand-at-hampton-preserve,28.167019,-82.359375,11014,1,hillsborough county,12057
23104,5/10/17,5/10/17,11983,centre oaks,stabilized,1984,320,b,b,b,north arlington,"fort worth-arlington, tx",14609 chimney meadow st,fort worth,tx,76155,http://centreoaks.net/pricing.php,32.820107,-97.0522,106518,2,tarrant county,48439
31084,5/10/17,5/25/17,43978,the hw,stabilized,2014,79,a-,a+,a-,beverly hills/w hollywood/park la brea,"los angeles-long beach-glendale, ca",7928 hollywood blvd,los angeles,ca,90046,http://www.thehw.com/,34.101299,-118.3627,194102,2,los angeles county,6037
41700,5/10/17,5/5/17,8272,manor at castle hills ,stabilized,2001,306,b+,b,b,far north central,"san antonio-new braunfels, tx",1835 lockhill selma rd,san antonio,tx,78213,http://www.manoratcastlehills.com/,29.53742,-98.521866,191409,2,bexar county,48029
